feature0,feature1,feature2,feature3,feature4,output
0.5093,26.90,-1.358,118.88,4.655,0
0.0550,26.10,-1.030,15040.36,0.697,1
0.3016,15.18,-1.135,170.78,4.886,0
0.1587,3.81,-1.103,228.84,3.835,1
0.2903,13.36,-1.237,980.00,0.353,1
0.9000,14.08,-1.246,187.14,4.775,0
0.2247,26.72,-1.017,251.60,0.414,1
0.9479,2.21,-1.916,278.27,0.138,1
0.0644,23.77,-1.799,165.26,2.304,0
0.4327,21.38,-1.791,153.76,3.092,0
0.1378,33.53,-1.208,131.03,1.806,0
0.0127,7.66,-1.563,145.76,3.387,0
0.2435,32.03,-1.710,111.22,1.897,0
0.9713,0.41,-1.136,112.49,2.486,0
0.1196,18.00,-1.304,300.13,4.164,1
0.5279,23.26,-1.330,447.90,2.647,1
0.3829,10.86,-1.122,228.97,3.410,1
0.9237,33.51,-1.972,571.56,4.727,1
0.3328,30.25,-1.464,118.98,2.309,0
0.0872,11.92,-1.614,714.80,4.120,1
0.9391,39.51,-1.058,326.02,2.744,1
0.2224,22.12,-1.407,157.85,0.647,0
0.7803,29.52,-1.743,545.94,2.838,1
0.4357,26.08,-1.407,132.53,4.836,0
0.7163,27.04,-1.185,117.73,1.224,0
0.2249,14.73,-1.501,178.10,4.357,0
0.0917,21.25,-1.423,152.28,4.858,0
0.0176,41.41,-1.280,272.10,2.643,1
0.3490,41.70,-1.209,748.27,1.196,1
0.9531,41.73,-1.598,135.95,3.006,0
0.0454,32.60,-1.099,367.91,4.729,1
0.2502,28.71,-1.006,978.88,1.824,1
0.5123,26.87,-1.635,259.93,4.288,1
0.0617,4.39,-1.963,313.52,1.218,1
0.2696,20.90,-1.646,138.92,3.729,0
0.9647,15.98,-1.214,105.53,4.885,0
0.9427,0.32,-1.665,118.76,2.456,0
0.7255,39.47,-1.434,406.75,4.416,1
0.8456,37.73,-1.587,104.79,3.766,0
0.7698,14.16,-1.402,220.66,1.247,1
0.7629,25.28,-1.480,497.87,1.350,1
0.7106,18.65,-1.209,877.28,1.758,1
0.3387,34.29,-1.693,183.12,0.125,0
0.1876,34.17,-1.324,122.50,2.642,0
0.0509,27.83,-1.071,134.19,0.110,0
0.2594,37.09,-1.600,339.46,2.266,1
0.1197,37.69,-1.964,106.30,1.778,0
0.2874,1.50,-1.130,235.78,2.952,1
0.0730,18.26,-1.239,194.69,1.446,0
0.0575,11.48,-1.394,550.13,2.074,1
0.7096,10.61,-1.410,202.55,3.962,0
0.2008,24.94,-1.788,376.69,2.172,1
0.1078,25.80,-1.229,279.32,0.732,1
0.4746,41.98,-1.608,405.34,1.380,1
0.2763,31.92,-1.288,143.62,4.571,0
0.3403,7.43,-1.095,9923.80,4.891,1
0.3274,24.98,-1.833,181.21,2.889,0
0.4766,6.79,-1.707,119.67,1.865,0
0.3481,0.66,-1.662,317.48,0.408,1
0.3611,4.11,-1.168,103.19,3.446,0
0.7763,41.14,-1.613,146.15,1.030,0
0.0895,16.97,-1.894,218.76,3.787,1
0.2638,2.46,-1.343,380.20,1.502,1
0.9096,6.34,-1.555,167.71,4.448,0
0.0869,19.05,-1.175,106.81,1.217,0
0.0643,8.20,-1.825,156.04,1.953,0
0.8790,15.83,-1.386,111.25,1.490,0
0.9834,40.56,-1.087,149.75,4.921,0
0.2088,21.57,-1.196,209.54,3.151,1
0.4376,33.27,-1.076,314.94,1.062,1
0.5676,16.09,-1.477,966.70,4.532,1
0.2892,6.95,-1.305,127.33,0.689,0
0.0904,31.43,-1.121,155.59,2.342,0
0.0146,17.28,-1.871,1428.29,3.665,1
0.6173,20.75,-1.583,107.94,4.379,0
0.3327,13.56,-1.697,256.19,4.956,1
0.9488,13.62,-1.139,131.89,0.061,0
0.4093,18.87,-1.991,186.50,3.143,0
0.6998,8.03,-1.339,123.20,3.938,0
0.0990,38.44,-1.157,2234.22,4.277,1
0.4937,3.70,-1.230,104.22,3.438,0
0.1689,39.77,-1.394,141.82,4.633,0
0.2206,39.91,-1.620,242.43,4.163,1
0.0888,9.50,-1.882,293.95,2.215,1
0.2258,9.52,-1.666,785.26,4.130,1
0.6826,37.03,-1.941,118.72,3.815,0
0.9978,30.71,-1.779,126.48,4.166,0
0.1649,17.38,-1.556,233.88,3.031,1
0.7229,31.13,-1.512,1009.95,0.330,1
0.0287,11.60,-1.660,328.92,1.814,1
0.9014,33.25,-1.968,281.55,0.192,1
0.1339,32.45,-1.927,120.94,3.698,0
0.6491,3.45,-1.167,152.97,3.325,0
0.6500,23.95,-1.283,179.95,4.271,0
0.7989,40.11,-1.889,411.86,4.513,1
0.2368,23.14,-1.916,114.74,2.375,0
0.0709,7.37,-1.095,267.64,1.398,1
0.7628,7.12,-1.273,336.66,3.771,1
0.3920,4.28,-1.238,103.39,1.342,0
0.7576,23.49,-1.116,114.87,0.233,0
0.5530,30.23,-1.351,264.70,0.657,1
0.7034,25.34,-1.280,139.99,2.448,0
0.3067,24.15,-1.940,1386.74,0.607,1
0.7687,8.14,-1.024,120.61,1.170,0
0.4174,3.16,-1.501,1030.88,4.282,1
0.9966,10.61,-1.911,188.69,0.532,0
0.1042,16.66,-1.145,474.76,1.763,1
0.6299,18.61,-1.462,278.33,0.569,1
0.4980,12.20,-1.998,140.26,3.759,0
0.7865,8.12,-1.844,142.91,2.037,0
0.7156,28.51,-1.717,183.57,3.887,0
0.2329,37.71,-1.602,427.94,4.648,1
0.7000,33.77,-1.951,161.44,2.890,0
0.4181,12.24,-1.691,312.18,0.558,1
0.1733,15.68,-1.767,164.53,4.952,0
0.1377,32.85,-1.553,112.74,1.414,0
0.6816,6.20,-1.628,356.49,2.773,1
0.3747,13.74,-1.604,180.83,1.370,0
0.4103,23.55,-1.479,124.00,2.539,0
0.6914,22.90,-1.853,1833.12,2.456,1
0.0159,22.70,-1.905,630.62,3.486,1
0.4847,24.62,-1.457,698.70,0.642,1
0.3293,33.64,-1.216,181.20,0.232,0
0.9333,25.68,-1.206,153.40,2.041,0
0.2629,25.36,-1.132,103.79,0.897,0
0.2937,2.45,-1.415,237.04,3.583,1
0.3065,28.58,-1.564,165.59,3.600,0
0.5963,19.92,-1.600,105.74,1.048,0
0.4824,23.42,-1.750,298.22,4.884,1
0.7675,4.21,-1.008,195.21,0.770,0
0.7861,24.66,-1.606,169.83,1.969,0
0.7932,18.15,-1.419,2278.74,3.324,1
0.8544,6.86,-1.187,466.44,3.282,1
0.0355,8.14,-1.246,120.37,0.754,0
0.6490,38.12,-1.368,123.76,2.179,0
0.0429,38.63,-1.346,134.85,0.891,0
0.2365,15.45,-1.326,173.98,4.003,0
0.7174,8.57,-1.042,114.36,2.257,0
0.5906,12.82,-1.917,254.02,3.102,1
0.1333,23.81,-1.813,125.04,2.318,0
0.6860,3.07,-1.011,110.83,1.138,0
0.4828,15.85,-1.071,139.87,0.932,0
0.8342,19.56,-1.196,170.44,0.015,0
0.9472,34.74,-1.344,124.37,0.249,0
0.2010,29.65,-1.732,127.74,4.314,0
0.8877,6.83,-1.354,171.95,3.711,0
0.1218,30.16,-1.150,241.43,0.834,1
0.7799,11.12,-1.544,116.92,4.735,0
0.1933,12.38,-1.756,427.88,4.208,1
0.2022,34.68,-1.183,243.71,3.222,1
0.0724,9.77,-1.243,307.98,1.811,1
0.8717,15.12,-1.527,210.73,3.524,1
0.4968,24.20,-1.578,104.35,0.945,0
0.9001,31.33,-1.552,387.11,0.608,1
0.6835,3.46,-1.877,247.54,3.546,1
0.8424,0.04,-1.394,365.74,3.954,1
0.0360,10.21,-1.614,187.39,1.011,0
0.7154,9.25,-1.074,2469.08,2.375,1
0.9572,12.90,-1.687,156.68,4.067,0
0.4703,27.94,-1.876,742.32,3.384,1
0.6306,34.91,-1.639,153.63,2.468,0
0.6867,24.82,-1.325,762.18,0.553,1
0.3800,11.33,-1.064,314.53,4.286,1
0.7872,27.83,-1.500,114.12,1.401,0
0.7991,37.27,-1.428,108.64,2.482,0
0.4098,21.36,-1.792,100.82,0.542,0
0.2583,0.29,-1.641,1216.73,2.366,1
0.7770,29.96,-1.572,158.58,2.178,0
0.8355,0.40,-1.574,235.27,0.619,1
0.7960,8.11,-1.049,738.07,2.513,1
0.7167,41.62,-1.787,341.33,2.396,1
0.0586,23.49,-1.957,216.59,4.428,1
0.8815,2.78,-1.382,621.19,0.919,1
0.9972,26.01,-1.413,238.71,0.118,1
0.5037,29.39,-1.481,251.78,4.306,1
0.8096,11.71,-1.025,1587.58,4.375,1
0.1956,16.84,-1.156,135.21,0.505,0
0.7954,27.66,-1.234,115.42,4.570,0
0.6180,27.46,-1.212,145.74,1.128,0
0.8463,19.06,-1.228,136.70,4.053,0
0.3249,4.71,-1.070,415.82,2.372,1
0.6826,14.50,-1.045,103.03,2.861,0
0.1675,5.80,-1.759,253.43,1.562,1
0.2116,15.97,-1.611,503.22,3.005,1
0.4312,23.76,-1.190,110.59,0.028,0
0.0573,24.94,-1.120,144.67,1.005,0
0.8029,27.13,-1.962,254.22,0.309,1
0.8448,2.16,-1.105,320.88,1.171,1
0.5884,5.54,-1.994,231.23,1.875,1
0.4508,37.71,-1.515,557.80,1.703,1
0.5314,8.29,-1.734,120.92,0.750,0
0.9048,31.19,-1.711,15419.52,4.350,1
0.4755,32.68,-1.060,4546.45,3.577,1
0.4628,32.02,-1.423,170.06,0.762,0
0.7094,3.08,-1.737,108.61,4.414,0
0.1050,26.87,-1.669,203.22,1.096,1
0.5211,22.81,-1.328,110.64,2.155,0
0.1337,37.17,-1.626,489.82,2.937,1
0.5333,7.75,-1.246,118.85,4.088,0
0.9760,4.20,-1.402,1405.88,1.375,1
0.2197,4.90,-1.581,1282.02,1.240,1
0.8093,16.28,-1.028,189.18,0.585,0
0.4107,10.10,-1.816,107.28,2.601,0
0.3235,34.53,-1.470,176.55,2.559,0
0.0383,29.93,-1.470,711.19,2.728,1
0.1663,30.33,-1.657,115.00,2.695,0
0.1726,5.32,-1.429,115.77,2.028,0
0.2686,17.07,-1.865,112.32,2.627,0
0.0578,7.39,-1.589,170.75,1.063,0
0.9553,9.73,-1.138,212.46,2.383,1
0.2131,17.23,-1.798,409.29,3.564,1
0.1686,22.43,-1.888,111.20,3.510,0
0.2534,33.47,-1.718,137.24,2.515,0
0.1929,30.33,-1.492,524.35,2.906,1
0.2864,29.20,-1.523,8989.90,1.340,1
0.4045,11.27,-1.379,325.17,4.599,1
0.1077,26.04,-1.468,222.70,3.120,1
0.9898,34.70,-1.176,361.17,0.632,1
0.8767,26.18,-1.728,202.53,4.266,1
0.4896,32.92,-1.400,992.59,2.351,1
0.0711,5.33,-1.122,362.60,0.374,1
0.9325,15.77,-1.545,120.89,3.144,0
0.7637,28.63,-1.767,262.85,3.334,1
0.2060,7.07,-1.471,170.88,1.794,0
0.2388,2.18,-1.519,104.97,0.422,0
0.9596,20.48,-1.452,791.75,1.851,1
0.6530,25.93,-1.448,105.65,2.904,0
0.5079,34.10,-1.196,106.75,4.459,0
0.4941,31.20,-1.306,196.43,4.196,1
0.9645,23.92,-1.365,638.61,1.062,1
0.5147,7.61,-1.125,123.33,3.206,0
0.7426,12.31,-1.565,114.68,4.979,0
0.2853,38.72,-1.889,2625.77,2.924,1
0.9410,41.70,-1.378,425.29,4.460,1
0.5769,5.43,-1.820,572.35,2.666,1
0.3376,25.46,-1.390,117.08,0.098,0
0.1493,38.56,-1.845,119.96,0.458,0
0.3451,31.66,-1.592,110.00,0.313,0
0.7603,37.61,-1.344,103.39,2.675,0
0.4746,1.48,-1.232,1470.05,4.364,1
0.0721,18.67,-1.462,359.13,2.157,1
0.4900,1.98,-1.760,104.94,3.568,0
0.7076,4.76,-1.177,174.88,4.132,0
0.4323,40.68,-1.762,400.42,1.115,1
0.7849,32.63,-1.479,112.71,2.378,0
0.2129,12.75,-1.654,180.35,1.159,0
0.4590,9.04,-1.578,118.67,4.409,0
0.2153,20.30,-1.860,292.17,0.697,1
0.1355,31.57,-1.918,476.85,0.255,1
0.7567,38.61,-1.439,181.50,1.504,0
0.2588,27.93,-1.130,107.58,0.393,0
0.8069,23.93,-1.761,116.06,4.996,0
0.7451,14.67,-1.244,114.11,1.063,0
0.7956,24.61,-1.363,113.26,0.173,0
0.9377,41.66,-1.595,3525.13,2.921,1
0.8864,19.62,-1.356,124.17,3.514,0
0.2642,31.50,-1.878,107.51,3.390,0
0.7991,36.84,-1.319,372.42,1.118,1
0.8090,28.62,-1.600,182.21,0.211,0
0.1310,28.95,-1.231,109.61,1.178,0
0.6734,27.83,-1.311,137.20,0.301,0
0.4776,20.29,-1.313,212.04,1.727,1
0.0426,6.69,-1.293,288.65,2.894,1
0.2872,40.95,-1.202,1083.58,2.029,1
0.2418,17.13,-1.839,786.30,0.888,1
0.8817,12.58,-1.543,230.18,0.172,1
0.0341,22.95,-1.694,164.46,0.820,0
0.0425,24.20,-1.077,113.36,0.705,0
0.9507,30.08,-1.105,287.37,1.886,1
0.8376,15.76,-1.721,102.31,0.174,0
0.3760,25.83,-1.025,143.66,2.159,0
0.3513,0.32,-1.962,116.40,0.405,0
0.4187,18.59,-1.299,106.07,2.553,0
0.7927,24.96,-1.360,137.05,1.370,0
0.6533,15.68,-1.801,131.48,3.184,0
0.2788,26.34,-1.827,2375.23,1.609,1
0.6214,18.44,-1.007,198.72,4.623,0
0.8177,35.24,-1.135,223.11,2.917,1
0.4371,0.93,-1.997,479.51,2.763,1
0.6140,7.96,-1.091,223.89,0.396,1
0.9928,26.65,-1.298,297.41,2.950,1
0.4671,12.70,-1.950,110.24,3.820,0
0.5304,24.88,-1.024,542.31,3.807,1
0.4725,34.45,-1.820,801.34,3.620,1
0.8105,40.93,-1.699,697.45,1.405,1
0.4333,23.67,-1.141,1069.24,0.779,1
0.7308,18.48,-1.706,1674.03,4.844,1
0.8614,29.30,-1.606,463.48,0.587,1
0.1273,9.83,-1.268,116.87,2.691,0
0.4486,0.61,-1.244,186.58,2.978,0
0.1203,38.46,-1.824,179.57,3.418,0
0.7101,3.97,-1.463,131.11,2.070,0
0.8869,37.55,-1.951,601.15,0.015,1
0.6842,10.03,-1.977,485.35,3.357,1
0.1633,39.74,-1.188,186.00,4.272,0
0.1855,13.87,-1.996,324.38,2.743,1
0.2852,8.03,-1.909,102.27,2.969,0
0.9777,41.22,-1.502,170.61,2.390,0
0.7043,40.72,-1.492,147.71,4.108,0
0.2018,26.15,-1.803,174.69,2.104,0
0.8764,7.74,-1.434,107.37,4.533,0
0.5776,17.63,-1.719,569.41,3.276,1
0.2889,27.68,-1.561,471.00,1.254,1
0.9171,32.65,-1.431,119.48,1.979,0
0.4089,7.37,-1.498,234.51,0.879,1
0.7390,22.99,-1.192,108.77,1.762,0
0.1036,5.10,-1.824,141.34,2.775,0
0.6580,6.75,-1.339,7222.77,0.567,1
0.8776,4.44,-1.833,2051.13,0.503,1
0.4219,26.11,-1.417,127.06,4.532,0
0.2264,34.47,-1.114,326.43,3.370,1
0.1596,17.32,-1.123,131.84,3.757,0
0.8240,25.69,-1.833,772.34,4.285,1
0.5545,32.82,-1.437,25508.78,2.179,1
0.8138,12.39,-1.116,384.14,4.928,1
0.2228,38.72,-1.831,248.01,4.169,1
0.4857,11.44,-1.345,431.49,3.259,1
0.8025,6.22,-1.360,412.12,1.345,1
0.3090,35.70,-1.926,163.15,2.741,0
0.8951,7.16,-1.435,107.08,1.942,0
0.9964,8.46,-1.738,137.93,1.252,0
0.5573,39.54,-1.061,238.98,0.500,1
0.7509,33.75,-1.362,125.47,4.205,0
0.0601,27.86,-1.537,141.03,3.805,0
0.4775,23.01,-1.368,405.25,0.036,1
0.9000,17.13,-1.348,166.07,0.183,0
0.7872,22.16,-1.785,178.66,3.288,0
0.8881,13.78,-1.058,770.72,3.406,1
0.5207,27.57,-1.813,128.84,0.324,0
0.6307,27.06,-1.012,103.92,1.260,0
0.0512,20.51,-1.250,1475.44,4.177,1
0.9413,38.93,-1.110,10391.47,1.128,1
0.2615,25.53,-1.917,406.70,2.781,1
0.0592,30.34,-1.646,172.53,3.912,0
0.1479,30.30,-1.877,376.20,0.289,1
0.8564,10.70,-1.367,103.73,0.922,0
0.9706,25.76,-1.862,945.63,4.149,1
0.1485,36.74,-1.685,228.31,0.599,1
0.6146,29.22,-1.362,178.26,0.269,0
0.4311,26.36,-1.119,134.93,4.751,0
0.8470,11.07,-1.111,5622.55,4.798,1
0.7717,36.97,-1.002,112.29,3.221,0
0.8685,13.16,-1.509,144.98,0.687,0
0.6338,18.78,-1.782,1953.20,2.323,1
0.4883,40.09,-1.184,109.96,0.237,0
0.3012,8.86,-1.432,236.69,3.045,1
0.3360,37.01,-1.669,537.01,0.888,1
0.5203,18.00,-1.900,868.22,4.689,1
0.3362,37.70,-1.757,106.20,0.621,0
0.4798,39.47,-1.895,169.72,1.761,0
0.6714,9.99,-1.851,463.54,3.867,1
0.2972,17.57,-1.732,117.67,0.185,0
0.2428,0.28,-1.664,178.87,3.866,0
0.5434,37.53,-1.272,168.38,3.177,0
0.2120,36.66,-1.210,150.69,3.081,0
0.8016,25.04,-1.212,298.45,4.894,1
0.1939,25.42,-1.856,147.16,4.764,0
0.8629,1.56,-1.913,1129.51,2.670,1
0.5956,33.22,-1.454,361.63,3.845,1
0.4790,10.64,-1.554,103.45,2.508,0
0.1355,14.24,-1.339,391.26,4.397,1
0.9472,26.13,-1.594,232.71,0.493,1
0.7684,3.33,-1.567,292.65,4.312,1
0.5388,11.50,-1.911,204.56,0.016,0
0.7969,37.60,-1.598,112.10,1.237,0
0.5175,8.37,-1.902,124.47,0.417,0
0.4510,26.16,-1.029,116.32,0.087,0
0.3405,37.82,-1.428,108.54,1.130,0
0.3836,5.78,-1.879,106.22,2.531,0
0.4972,8.40,-1.366,291.51,2.021,1
0.4964,7.53,-1.512,239.89,3.185,1
0.2230,15.53,-1.595,401.57,3.725,1
0.0190,1.68,-1.123,194.88,1.982,0
0.1890,17.66,-1.309,164.18,3.122,0
0.4735,2.95,-1.741,100.42,0.408,0
0.9252,21.62,-1.170,159.87,0.877,0
0.8569,15.61,-1.166,750.27,2.266,1
0.6129,17.49,-1.135,174.40,3.464,0
0.2421,3.25,-1.948,128.74,3.195,0
0.4681,20.88,-1.955,132.08,2.244,0
0.8542,18.02,-1.151,271.84,3.613,1
0.9665,21.11,-1.853,179.95,1.804,0
0.2451,31.18,-1.010,173.80,0.662,0
0.8688,17.51,-1.500,1245.92,3.678,1
0.3009,9.77,-1.904,171.02,2.582,0
0.4313,32.98,-1.853,251.09,0.958,1
0.7377,6.66,-1.006,106.30,4.849,0
0.3392,27.64,-1.279,310.16,2.916,1
0.3328,21.91,-1.243,587.78,3.107,1
0.1016,17.41,-1.436,188.26,4.210,0
0.1978,21.76,-1.564,1076.52,2.180,1
0.6845,20.57,-1.089,2180.24,3.130,1
0.8219,23.54,-1.944,106.46,0.120,0
0.6379,1.09,-1.284,207.43,1.712,0
0.7182,5.49,-1.929,122.09,2.722,0
0.4641,25.83,-1.334,122.91,3.952,0
0.2332,10.23,-1.291,544.10,4.347,1
0.3594,7.40,-1.942,123.04,2.164,0
0.2656,15.36,-1.250,604.69,4.161,1
0.0993,3.01,-1.514,145.46,1.258,0
0.2646,9.99,-1.752,127.53,0.368,0
0.8793,17.32,-1.544,233.27,3.106,1
0.3136,41.46,-1.116,377.27,0.294,1
0.5246,5.84,-1.586,114.67,2.705,0
0.3455,39.08,-1.522,1199.30,3.658,1
0.0636,21.72,-1.325,142.95,2.608,0
0.5020,27.13,-1.833,108.36,4.472,0
0.1624,28.11,-1.929,221.76,0.459,1
0.3610,32.25,-1.213,130.93,1.142,0
0.0426,15.51,-1.034,117.10,1.030,0
0.6586,36.84,-1.432,155.95,1.644,0
0.9755,24.26,-1.477,306.32,1.088,1
0.2874,6.74,-1.081,125.13,3.722,0
0.2450,34.37,-1.152,149.94,3.756,0
0.7298,33.86,-1.790,161.66,3.571,0
0.0991,2.23,-1.056,148.64,4.859,0
0.7790,21.50,-1.701,150.31,3.356,0
0.9377,39.70,-1.803,183.46,4.527,0
0.9109,38.40,-1.671,114.54,0.337,0
0.0885,18.10,-1.220,229.34,2.998,1
0.1300,3.28,-1.007,261.82,1.530,1
0.5534,3.62,-1.479,136.17,4.047,0
0.5387,26.39,-1.847,1747.88,2.498,1
0.1318,23.19,-1.839,147.59,1.585,0
0.4497,13.05,-1.096,157.74,0.374,0
0.1672,1.77,-1.114,191.48,0.035,0
0.1198,9.08,-1.790,140.31,2.077,0
0.6694,37.08,-1.328,118.56,4.862,0
0.3349,2.24,-1.146,580.75,2.262,1
0.8440,40.62,-1.734,101.17,2.813,0
0.1975,18.49,-1.748,145.48,2.154,0
0.7427,25.85,-1.844,272.11,3.674,1
0.8031,19.23,-1.179,107.52,3.452,0
0.2189,22.12,-1.739,1421.57,4.775,1
0.6366,29.49,-1.271,538.66,3.971,1
0.0458,19.84,-1.841,274.30,1.666,1
0.7569,32.67,-1.332,123.50,2.229,0
0.5975,2.30,-1.003,221.54,2.845,1
0.2974,39.83,-1.501,218.62,2.319,1
0.0984,40.18,-1.240,179.36,2.626,0
0.7899,10.59,-1.600,112.71,2.035,0
0.0657,25.50,-1.269,1795.70,0.098,1
0.0071,18.49,-1.755,226.13,4.477,1
0.1726,14.72,-1.972,100.55,2.081,0
0.7178,5.90,-1.871,115.22,0.287,0
0.5841,41.65,-1.861,135.48,1.277,0
0.1928,25.44,-1.105,127.95,0.110,0
0.6110,35.52,-1.971,178.63,4.821,0
0.8190,25.14,-1.342,101.89,3.942,0
0.8095,4.28,-1.454,1049.38,1.831,1
0.5396,24.11,-1.800,205.07,4.365,1
0.9541,34.17,-1.625,131.67,2.553,0
0.4026,20.36,-1.157,674.68,3.357,1
0.4327,5.18,-1.668,521.49,1.467,1
0.5559,28.25,-1.503,467.35,3.847,1
0.8578,15.45,-1.433,129.55,2.301,0
0.9895,16.09,-1.367,579.52,1.699,1
0.1524,20.11,-1.358,253.50,0.921,1
0.9881,5.03,-1.396,195.23,0.292,0
0.1292,2.27,-1.014,342.28,1.458,1
0.0841,3.92,-1.957,108.64,2.947,0
0.0136,29.62,-1.968,227.33,4.803,1
0.6114,15.94,-1.250,147.36,4.533,0
0.3313,30.01,-1.766,367.19,4.651,1
0.2465,24.85,-1.884,107.89,2.538,0
0.7319,33.33,-1.856,313.06,3.943,1
0.0424,6.83,-1.600,125.75,3.791,0
0.3176,13.36,-1.331,383.61,0.700,1
0.9295,41.91,-1.700,155.53,0.827,0
0.7969,38.64,-1.403,177.75,2.599,0
0.8682,35.96,-1.142,283.66,3.391,1
0.7439,34.42,-1.586,147.63,4.964,0
0.3387,16.69,-1.407,171.95,0.842,0
0.6038,38.16,-1.748,4731.79,4.254,1
0.5677,10.21,-1.417,247.24,4.791,1
0.0754,38.48,-1.198,3406.66,3.360,1
0.3916,19.39,-1.801,105.37,3.245,0
0.5946,8.53,-1.281,318.73,4.526,1
0.4133,30.77,-1.818,181.76,0.181,0
0.8584,38.40,-1.768,131.07,4.134,0
0.7073,28.89,-1.557,104.01,3.042,0
0.4099,26.00,-1.520,147.71,0.855,0
0.7829,40.51,-1.796,607.03,4.975,1
0.0568,32.48,-1.352,554.41,2.257,1
0.4400,30.77,-1.853,107.06,4.323,0
0.3488,26.81,-1.724,1147.22,1.235,1
0.0866,24.15,-1.059,484.73,3.254,1
0.0682,34.03,-1.585,165.07,3.965,0
0.6853,31.79,-1.277,245.28,1.247,1
0.0132,23.74,-1.525,600.28,3.260,1
0.8218,4.61,-1.363,162.02,2.565,0
0.6299,19.41,-1.781,128.99,0.531,0
0.1354,38.45,-1.225,3572.26,0.552,1
0.8742,17.65,-1.018,175.85,0.106,0
0.1001,23.76,-1.296,124.17,3.530,0
0.1982,41.19,-1.334,403.78,0.826,1
0.6353,5.44,-1.898,159.00,3.121,0
0.6382,2.54,-1.118,403.09,1.926,1
0.3660,33.55,-1.264,106.03,1.378,0
0.5449,38.32,-1.279,206.12,1.623,1
0.3015,2.42,-1.393,100.97,4.492,0
0.7163,27.00,-1.597,376.42,4.300,1
0.9199,3.69,-1.566,117.00,0.888,0
0.2514,31.77,-1.257,734.37,2.853,1
0.9061,31.44,-1.240,2868.17,1.774,1
0.7997,9.03,-1.013,181.35,0.027,0
0.2924,20.06,-1.233,1358.42,3.207,1
0.5011,9.81,-1.141,103.25,2.256,0
0.2975,33.68,-1.044,123.43,2.110,0
0.5352,38.38,-1.785,281.06,1.536,1
0.4776,5.19,-1.911,400.29,2.644,1
0.0716,8.40,-1.360,118.10,4.924,0
0.7351,41.57,-1.683,216.26,0.697,1
0.5559,41.16,-1.901,104.71,3.654,0
0.5264,32.22,-1.765,217.69,3.898,1
0.7111,14.54,-1.442,796.30,3.278,1
0.1459,8.29,-1.781,182.45,4.377,0
0.6743,23.17,-1.231,183.23,0.274,0
0.0255,26.36,-1.977,778.21,0.096,1
0.1459,20.13,-1.472,119.15,1.903,0
0.4774,9.76,-1.883,219.89,4.994,1
0.8712,41.93,-1.097,616.24,3.714,1
0.5421,19.48,-1.003,451.34,4.665,1
0.8105,15.23,-1.141,925.10,4.494,1
0.5192,21.87,-1.969,246.88,0.021,1
0.8258,15.45,-1.650,113.40,2.221,0
0.2041,12.02,-1.291,1610.10,0.335,1
0.0202,33.66,-1.625,395.14,1.895,1
0.7887,40.12,-1.586,198.64,1.451,1
0.1236,16.05,-1.743,183.86,4.088,0
0.2005,9.27,-1.723,152.02,1.504,0
0.7091,38.00,-1.958,468.50,0.830,1
0.3399,8.54,-1.048,180.96,2.592,0
0.9511,12.12,-1.311,142.12,1.349,0
0.1377,13.44,-1.478,146.72,1.778,0
0.0492,9.57,-1.605,100.51,2.479,0
0.6422,24.44,-1.697,109.51,1.187,0
0.0412,33.76,-1.858,177.50,1.857,0
0.8688,29.41,-1.534,307.64,1.774,1
0.2329,33.89,-1.738,2379.87,3.463,1
0.9963,8.97,-1.354,195.99,1.223,0
0.8679,13.42,-1.399,548.42,0.831,1
0.6233,10.17,-1.408,1169.23,3.131,1
0.4539,39.25,-1.254,160.47,4.194,0
0.3085,23.03,-1.561,498.92,4.936,1
0.6049,22.05,-1.240,284.94,1.632,1
0.0090,9.62,-1.156,579.73,3.285,1
0.6532,37.34,-1.778,182.91,0.764,0
0.4297,20.58,-1.276,954.73,0.730,1
0.1634,25.57,-1.159,741.23,0.600,1
0.7311,30.78,-1.015,159.09,1.740,0
0.9100,30.89,-1.873,127.85,1.726,0
0.6755,13.19,-1.127,540.32,2.198,1
0.6994,10.15,-1.019,411.07,2.305,1
0.6811,10.19,-1.404,223.77,2.462,1
0.4522,31.26,-1.329,117.16,0.180,0
0.5963,11.47,-1.286,336.77,2.960,1
0.3439,25.60,-1.482,1800.72,4.419,1
0.3821,1.59,-1.295,106.73,3.539,0
0.1389,39.18,-1.807,522.93,4.563,1
0.5397,12.25,-1.431,538.45,1.808,1
0.5513,36.93,-1.373,281.97,0.751,1
0.6492,2.27,-1.259,291.44,4.438,1
0.9203,30.81,-1.221,101.82,3.403,0
0.0570,18.37,-1.168,243.50,2.510,1
0.3810,25.15,-1.328,179.87,1.676,0
0.7184,23.25,-1.715,400.59,3.044,1
0.2245,34.19,-1.052,226.46,0.096,1
0.7467,38.36,-1.585,102.17,2.666,0
0.2361,29.89,-1.693,201.33,3.310,1
0.0332,30.76,-1.121,160.60,4.133,0
0.4350,26.31,-1.356,118.32,3.460,0
0.6996,6.90,-1.502,181.99,1.233,0
0.0638,2.29,-1.137,152.45,0.305,0
0.3345,21.34,-1.042,231.46,3.113,1
0.6281,15.13,-1.485,948.98,3.404,1
0.3089,13.18,-1.198,231.72,4.669,1
0.7915,18.24,-1.223,8029.02,2.066,1
0.6981,5.30,-1.145,148.73,3.673,0
0.5181,24.32,-1.507,643.34,3.569,1
